ClassId,AverageSize,DistinctSizesCount,PeakRecordsCount,TotalRecords,StdDev
5305,233,113,22617,273457,29.264513694416134
5305,433,15,4089,9940,12.37250188076727
5305,564,57,2327,29722,14.006529939360149
5305,398,180,29,1448,134.01684816072577
58982,314,278,17125,183962,71.947246271342863
58982,706,278,257,19607,84.37422355326909
58982,967,111,71,4404,68.25817997461769
58982,1290,6,33,188,95.197104960230746
58982,2365,4792,29,20361,2011.007813913378
58982,18503,463,2,470,3613.3025516907505
58982,31159,96,2,97,3087.2213829377451
58982,44717,4,1,4,5982.453844368546
61306,36,6,147000,212992,1.1301984054916654
61307,196,25,1941045,10687155,3.7189185613712707
61307,181,4,12,18,17.077007437093183
61354,305,89,251683,5327095,17.404109131274303
61354,379,75,11813,155149,155149,22.895483678090464
61354,335,33,28,374,76.922286479010907
62541,77,58,24912,71576,18.40815270868924
62541,106,36,29,265,29.932183210830551